Date,Price,Open,High,Low,Vol.,Change %
7/1/2022,"3,448.31","3,450.62","3,471.25","3,405.44",34.14M,-0.19%
6/30/2022,"3,454.86","3,501.20","3,501.20","3,414.74",47.87M,-1.69%
6/29/2022,"3,514.32","3,534.82","3,534.82","3,495.18",27.09M,-0.99%
6/28/2022,"3,549.29","3,545.92","3,583.46","3,545.89",28.20M,0.29%
6/27/2022,"3,538.88","3,537.86","3,595.67","3,523.97",33.20M,0.16%
6/24/2022,"3,533.17","3,443.28","3,538.94","3,443.28",33.37M,2.82%
6/23/2022,"3,436.29","3,456.35","3,481.85","3,411.83",39.57M,-0.82%
6/22/2022,"3,464.64","3,494.00","3,494.00","3,413.04",31.50M,-0.84%
6/21/2022,"3,494.00","3,469.83","3,524.24","3,469.83",28.68M,0.70%
6/20/2022,"3,469.83","3,443.25","3,469.85","3,429.40",27.03M,0.91%
6/17/2022,"3,438.46","3,433.56","3,485.94","3,422.78",73.48M,0.31%
6/16/2022,"3,427.91","3,528.11","3,528.11","3,420.65",40.20M,-2.96%
6/15/2022,"3,532.32","3,496.28","3,549.27","3,487.44",42.38M,1.64%
6/14/2022,"3,475.18","3,512.04","3,540.87","3,466.69",35.90M,-0.78%
6/13/2022,"3,502.50","3,581.87","3,581.87","3,494.31",48.85M,-2.69%
6/10/2022,"3,599.20","3,716.56","3,716.56","3,596.64",57.00M,-3.36%
6/9/2022,"3,724.45","3,780.03","3,788.97","3,719.52",32.69M,-1.70%
6/8/2022,"3,788.93","3,815.77","3,823.98","3,768.43",27.01M,-0.47%
6/7/2022,"3,806.74","3,830.21","3,830.21","3,783.35",22.61M,-0.83%
6/6/2022,"3,838.42","3,793.07","3,857.27","3,793.07",22.41M,1.45%
6/3/2022,"3,783.66","3,813.29","3,822.37","3,777.47",20.35M,-0.30%
6/2/2022,"3,795.13","3,761.19","3,799.18","3,761.19",18.42M,0.95%
6/1/2022,"3,759.54","3,800.10","3,813.04","3,755.06",29.50M,-0.78%
5/31/2022,"3,789.21","3,833.03","3,833.73","3,780.41",53.94M,-1.36%
5/30/2022,"3,841.62","3,817.71","3,852.68","3,817.71",25.41M,0.86%
5/27/2022,"3,808.86","3,744.63","3,808.86","3,744.63",27.51M,1.83%
5/26/2022,"3,740.31","3,675.24","3,747.41","3,675.24",26.88M,1.72%
5/25/2022,"3,677.10","3,652.39","3,690.82","3,633.78",32.82M,0.81%
5/24/2022,"3,647.56","3,700.12","3,700.12","3,645.51",31.89M,-1.64%
5/23/2022,"3,708.39","3,669.53","3,708.39","3,653.14",31.08M,1.40%
5/20/2022,"3,657.03","3,650.09","3,710.67","3,645.77",37.52M,0.45%
5/19/2022,"3,640.55","3,662.53","3,662.53","3,592.01",32.44M,-1.36%
5/18/2022,"3,690.74","3,745.24","3,752.29","3,684.36",27.47M,-1.36%
5/17/2022,"3,741.51","3,696.01","3,752.14","3,696.01",29.25M,1.52%
5/16/2022,"3,685.34","3,695.78","3,705.23","3,660.19",25.62M,-0.49%
5/13/2022,"3,703.42","3,628.25","3,703.42","3,628.25",30.82M,2.49%
5/12/2022,"3,613.43","3,617.71","3,637.62","3,544.56",37.61M,-0.94%
5/11/2022,"3,647.87","3,575.16","3,647.87","3,553.72",40.40M,2.62%
5/10/2022,"3,554.80","3,537.66","3,611.08","3,537.66",36.98M,0.79%
5/9/2022,"3,526.86","3,618.45","3,628.25","3,526.86",34.33M,-2.82%
5/6/2022,"3,629.17","3,678.85","3,678.85","3,602.77",47.21M,-1.82%
5/5/2022,"3,696.63","3,744.91","3,814.11","3,684.45",41.08M,-0.76%
5/4/2022,"3,724.99","3,758.44","3,767.66","3,724.95",26.73M,-0.96%
5/3/2022,"3,761.19","3,738.49","3,773.30","3,727.52",32.00M,0.77%
5/2/2022,"3,732.44","3,772.91","3,772.91","3,692.82",29.91M,-1.85%
4/29/2022,"3,802.86","3,785.58","3,833.89","3,785.58",35.63M,0.68%
4/28/2022,"3,777.02","3,750.21","3,809.24","3,731.95",34.55M,1.13%
4/27/2022,"3,734.64","3,719.35","3,748.97","3,675.54",44.56M,0.36%
4/26/2022,"3,721.36","3,769.66","3,804.96","3,717.98",43.59M,-0.96%
4/25/2022,"3,757.59","3,826.96","3,826.96","3,739.67",,-2.15%
4/22/2022,"3,840.01","3,905.80","3,905.80","3,838.19",36.31M,-2.24%
4/21/2022,"3,928.03","3,901.33","3,954.30","3,897.46",28.25M,0.80%
4/20/2022,"3,896.81","3,835.16","3,905.75","3,833.46",33.04M,1.72%
4/19/2022,"3,830.76","3,842.07","3,848.63","3,793.47",27.12M,-0.47%
4/14/2022,"3,848.68","3,834.33","3,859.59","3,823.85",31.41M,0.54%
4/13/2022,"3,827.96","3,827.47","3,833.98","3,788.87",27.16M,-0.09%
